title,price_gbp,price_inr,rating,in_stock,category
A Light in the Attic,51.77,5461.74,3,True,Books
Tipping the Velvet,53.74,5669.57,1,True,Books
Soumission,50.1,5285.55,1,True,Books
Sharp Objects,47.82,5045.01,4,True,Books
Sapiens: A Brief History of Humankind,54.23,5721.26,5,True,Books
The Requiem Red,22.65,2389.57,1,True,Books
The Dirty Little Secrets of Getting Your Dream Job,33.34,3517.37,4,True,Books
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,1891.62,3,True,Books
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,2384.3,4,True,Books
The Black Maria,52.15,5501.82,1,True,Books
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,1475.94,2,True,Books
Shakespeare's Sonnets,20.66,2179.63,4,True,Books
Set Me Free,17.46,1842.03,5,True,Books
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.6,5,True,Books
Rip it Up and Start Again,35.02,3694.61,5,True,Books
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,6039.88,3,True,Books
Olio,23.88,2519.34,1,True,Books
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,3965.75,1,True,Books
Libertarianism for Beginners,51.33,5415.32,2,True,Books
It's Only the Himalayas,45.17,4765.44,2,True,Books
In Her Wake,12.84,1354.62,1,True,Books
How Music Works,37.32,3937.26,2,True,Books
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3219.86,3,True,Books
Chase Me (Paris Nights #2),25.27,2665.98,5,True,Books
Black Dust,34.53,3642.92,5,True,Books
Birdsong: A Story in Pictures,54.64,5764.52,3,True,Books
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,2373.75,3,True,Books
Aladdin and His Wonderful Lamp,53.13,5605.22,3,True,Books
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,4251.65,5,True,Books
Wall and Piece,44.18,4660.99,4,True,Books
The Four Agreements: A Practical Guide to Personal Freedom,17.66,1863.13,5,True,Books
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3275.78,3,True,Books
The Elephant Tree,23.82,2513.01,5,True,Books
The Bear and the Piano,36.89,3891.9,1,True,Books
Sophie's World,15.94,1681.67,5,True,Books
Penny Maybe,33.29,3512.1,3,True,Books
Maude (1883-1993):She Grew Up with the country,18.02,1901.11,2,True,Books
"In a Dark, Dark Wood",19.63,2070.96,1,True,Books
Behind Closed Doors,52.22,5509.21,4,True,Books
You can't bury them all: Poems,33.63,3547.96,2,True,Books
It's Only the Himalayas,45.17,4765.44,2,True,Travel
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4,True,Travel
See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.78,3,True,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.17,2,True,Travel
Under the Tuscan Sun,37.33,3938.31,3,True,Travel
A Summer In Europe,44.34,4677.87,2,True,Travel
The Great Railway Bazaar,30.54,3221.97,1,True,Travel
A Year in Provence (Provence #1),56.88,6000.84,4,True,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.66,1,True,Travel
Neither Here nor There: Travels in Europe,38.95,4109.23,3,True,Travel
"1,000 Places to See Before You Die",26.08,2751.44,5,True,Travel
Sharp Objects,47.82,5045.01,4,True,Mystery
"In a Dark, Dark Wood",19.63,2070.96,1,True,Mystery
The Past Never Ends,56.5,5960.75,4,True,Mystery
A Murder in Time,16.64,1755.52,1,True,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,True,Mystery
The Last Mile (Amos Decker #2),54.21,5719.16,2,True,Mystery
That Darkness (Gardiner and Renner #1),13.92,1468.56,1,True,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1127.79,1,True,Mystery
A Time of Torment (Charlie Parker #14),48.35,5100.92,5,True,Mystery
