date,region,product,channel,quantity,unit_price,revenue
2024-01-05,North,Laptop,Online,12,800,9600
2024-01-08,South,Phone,Store,20,450,9000
2024-01-12,West,Tablet,Online,10,500,5000
2024-01-19,East,Monitor,Store,15,250,3750
2024-02-03,North,Keyboard,Online,30,70,2100
2024-02-15,South,Laptop,Online,8,800,6400
2024-02-17,West,Phone,Store,18,450,8100
2024-03-02,East,Tablet,Online,11,500,5500
2024-03-06,North,Monitor,Store,25,250,6250
2024-03-21,South,Keyboard,Online,40,70,2800
2024-04-04,West,Laptop,Store,14,800,11200
2024-04-13,East,Phone,Online,22,450,9900
2024-04-27,North,Tablet,Store,17,500,8500
2024-05-10,South,Monitor,Online,19,250,4750
2024-05-19,West,Keyboard,Store,35,70,2450
2024-06-05,East,Laptop,Online,9,800,7200
2024-06-15,North,Phone,Store,26,450,11700
2024-06-28,South,Tablet,Online,13,500,6500
2024-07-04,West,Monitor,Store,24,250,6000
2024-07-13,East,Keyboard,Online,42,70,2940
2024-07-29,North,Laptop,Store,16,800,12800
2024-08-08,South,Phone,Online,23,450,10350
2024-08-17,West,Tablet,Store,12,500,6000
2024-08-22,East,Monitor,Online,18,250,4500
2024-09-06,North,Keyboard,Store,33,70,2310
2024-09-14,South,Laptop,Online,10,800,8000
2024-09-26,West,Phone,Store,21,450,9450
2024-10-03,East,Tablet,Online,15,500,7500
2024-10-12,North,Monitor,Store,27,250,6750
2024-10-20,South,Keyboard,Online,39,70,2730
2024-11-07,West,Laptop,Store,13,800,10400
2024-11-15,East,Phone,Online,20,450,9000
2024-11-28,North,Tablet,Store,18,500,9000
2024-12-05,South,Monitor,Online,17,250,4250
2024-12-17,West,Keyboard,Store,31,70,2170
2024-12-23,East,Laptop,Online,11,800,8800
